General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
1,54421,ثانوية اجيال المواهب الاهلية,الخبر,AlSharquia,Domestic,تعليم عام بنين,88.41
2,53854,ثانوية الجامعة الأهلية,الخبر,AlSharquia,Domestic,تعليم عام بنين,87.75
3,26504,ثانوية الفلاح الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,86.93
5,153006,ثانوية المشكاة الأهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,86.05
7,11179,ثانوية نجد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,85.57
8,11175,ثانوية منارات الرياض الأهلية,الرياض,Riyadh,Domestic,مقررات,85.4
9,53936,ثانوية الانصار الأهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,84.93
11,538485,ثانوية الحصان النموذجية الاهلية بالدمام - مقررات,الدمام,AlSharquia,Domestic,مقررات,83.88
12,53853,ثانوية الظهران الاهلية - مقررات,الخبر,AlSharquia,Domestic,مقررات,83.56
13,11380,ثانوية الغد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,82.91
14,111903,ثانوية الرواد الأهلية - نظام المقررات,الرياض,Riyadh,Domestic,مقررات,82.81
15,11176,ثانوية الرياض الأهلية,الرياض,Riyadh,Domestic,مقررات,82.61
19,405625,مدارس منارات المدينة المنورة الأهلية - المرحلة الثانوية (مقررات),المدينة المنورة,Madina,Domestic,مقررات,81.69
20,11183,ثانوية الخليج الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,81.43
21,405645,مدارس الخندق الأهلية - المرحلة الثانوية (مقررات),المدينة المنورة,Madina,Domestic,مقررات,81.32
23,54225,ثانوية البسام الاهلية - مقررات,الدمام,AlSharquia,Domestic,مقررات,80.98
24,76452,الملك عبدالعزيز الأهلية النموذجية الثانوية,تبوك,Tabuk,Domestic,مقررات,80.3
26,532845,النصر الثانوية (نظام المقررات) الاهلية,جدة,Makkah,Domestic,مقررات,79.94
28,538395,ثانوية الحصان النموذجية الاهلية بالجبيل - مقررات,الجبيل,AlSharquia,Domestic,مقررات,79.7
30,32822,الفلاح الثانوية الأهلية,جدة,Makkah,Domestic,تعليم عام بنين,79.53
33,11292,ثانوية الأرقم الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,79.14
35,11185,ثانوية المناهج الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,78.92
38,33127,دار الذكر الثانوية الاهلية,جدة,Makkah,Domestic,مقررات,78.67
