General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
1,55915,ثانوية مدارس الظهران الاهلية (مقررات),الخبر,AlSharquia,Domestic,مقررات,92
2,55919,ثانوية مدارس الجامعة الاهلية للبنات,الخبر,AlSharquia,Domestic,تعليم عام بنات,87.51
3,422495,مدارس منارات المدينة المنورة الأهلية - المرحلة الثانوية (مقررات),المدينة المنورة,Madina,Domestic,مقررات,87.46
4,155010,مدارس السلام الخاصة للبنات - نظام المقررات,الخبر,AlSharquia,Domestic,مقررات,87.24
5,55921,ثانوية مدارس العزيزيه الاهلية للبنات,الخبر,AlSharquia,Domestic,تعليم عام بنات,86.72
6,96623,ثانوية الفهد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,86.26
7,35066,ثانوية الذكر بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,86.19
8,59009,ثانوية الانجال الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنات,86.13
12,35042,ثانوية الزهراء بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,85.23
13,56201,ثانوية مدارس البسام الاهلية للبنات -مقررات,الدمام,AlSharquia,Domestic,مقررات,85.07
15,559165,ثانوية مدارس الفيصلية الإسلامية بالخبر (مقررات),الخبر,AlSharquia,Domestic,مقررات,84.98
17,55694,ثانوية مدارس التربية الأهلية بالخبر,الخبر,AlSharquia,Domestic,تعليم عام بنات,84.69
19,966465,ثانوية الرواد الأهلية ( الازدهار ) - مقررات,الرياض,Riyadh,Domestic,مقررات,84.34
20,55693,ثانوية مدارس دار البيان الأهلية,الخبر,AlSharquia,Domestic,تعليم عام بنات,84.13
24,96676,ثانوية الغد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,83.77
28,195029,ثانوية الفرسان الأهلية - المقررات,الرياض,Riyadh,Domestic,مقررات,83.54
30,96953,ثانوية الفيصلية الحديثة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,83.35
32,56292,ثانوية مدارس الحصان النموذجية الأهلية ورياض الأطفال للبنات (مقررات),الدمام,AlSharquia,Domestic,مقررات,83.09
35,966645,ثانوية التربية الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,82.92
48,35047,ثانوية النصيفية النموذجية,جدة,Makkah,Domestic,تعليم عام بنات,82.34
50,96633,ثانوية نجد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,82.25
52,28326,ثانوية دوحة العلم الأهلية (نظام المقررات),مكة المكرمة,Makkah,Domestic,مقررات,82.2
61,351805,ثانوية الاندلس بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,81.77
80,96626,ثانوية التربية الإسلامية الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,80.72
81,35053,ثانوية منارات جدة,جدة,Makkah,Domestic,تعليم عام بنات,80.71
82,35078,ثانوية العقيق,جدة,Makkah,Domestic,تعليم عام بنات,80.66
91,59099,ثانوية النخبة النموذجية,الأحساء,AlSharquia,Domestic,تعليم عام بنات,80.41
100,56262,ثانوية  مدارس رياض الإحسان الاهلية للبنات بالدمام,الدمام,AlSharquia,Domestic,تعليم عام بنات,80.15
101,35179,ثانوية دارالقلم النموذجية الأهلية,جدة,Makkah,Domestic,تعليم عام بنات,80.14
105,35045,ثانوية البيان النموذجية نظام مقررات,جدة,Makkah,Domestic,مقررات,80.09
114,966305,ثانوية منارات الرياض الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,79.89
119,590215,مدارس أكاديمية الكفاح الأهلية للتعليم - الثانوية نظام المقررات (بنات),الأحساء,AlSharquia,Domestic,مقررات,79.84
121,42262,مدارس طيبة الطيبة الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,79.76
139,35316,ثانوية دار الرواد بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,79.43
140,35213,ثانوية الإبداع بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,79.43
150,966325,ثانوية التربية النموذجية الأهلية - مقررات(الريان),الرياض,Riyadh,Domestic,مقررات,79.33
151,42347,مدارس العقيق الأهلية - المرحلة الثانوية (مقررات),المدينة المنورة,Madina,Domestic,مقررات,79.27
160,556835,ثانوية مدارس السعد الأهلية للبنات (مقررات),الخبر,AlSharquia,Domestic,مقررات,79.09
162,28252,ثانوية دار البشرى الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,79.04
168,35080,ثانوية المستقبل,جدة,Makkah,Domestic,تعليم عام بنات,78.98
171,96099,ثانوية واحة العلم الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,78.88
174,962035,ثانوية ابن خلدون الأهلية ( النفل ) - مقررات,الرياض,Riyadh,Domestic,مقررات,78.85
181,966755,ثانوية رياض نجد الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,78.71
183,59008,ثانوية دور العلوم الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنات,78.7
186,96624,ثانوية المستقبل الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,78.66
195,55927,ثانوية مدارس المنارات الأهلية للبنات بالدمام,الدمام,AlSharquia,Domestic,تعليم عام بنات,78.48
223,42482,مدارس الملك عبدالعزيز النموذجية - المرحلة الثانوية (مقررات),المدينة المنورة,Madina,Domestic,مقررات,78
225,35064,ثانوية البيت السعيد بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,77.96
231,35060,ثانوية دوحة الجزيرة بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,77.78
239,96640,ثانوية العناية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,77.7
243,35214,ثانوية التقوى الشاملة,جدة,Makkah,Domestic,تعليم عام بنات,77.66
247,559110,ثانوية جواثا الأهلية مقررات,الأحساء,AlSharquia,Domestic,مقررات,77.6
255,77931,مدارس الملك عبدالعزيز النموذجية - نظام المقررات,تبوك,Tabuk,Domestic,مقررات,77.45
256,35073,ثانوية الصالحية,جدة,Makkah,Domestic,تعليم عام بنات,77.44
262,195041,ثانوية التعلم النموذجية الاهلية -  مقررات,الرياض,Riyadh,Domestic,مقررات,77.33
270,35065,ثانوية روضة السليمانيه,جدة,Makkah,Domestic,تعليم عام بنات,77.15
286,51279,ثانوية الرشاد النموذجيه,الرس,Qassim,Domestic,تعليم عام بنات,76.92
289,969575,ثانوية الأوائل الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,76.9
290,96642,ثانوية العربية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,76.89
292,55917,ثانوية مدارس  المنارات بالخبر الأهليه,الخبر,AlSharquia,Domestic,تعليم عام بنات,76.86
296,961285,ثانوية المناهج الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,76.84
309,195054,ثانوية الرواد الأهلية (الروابي ) - مقررات,الرياض,Riyadh,Domestic,مقررات,76.65
337,197110,ثانوية أطياب الأهلية (مقررات),الرياض,Riyadh,Domestic,مقررات,76.24
353,195068,ثانوية التربية النموذجية الأهلية (النزهه) - مقررات,الرياض,Riyadh,Domestic,مقررات,75.98
370,42251,مدارس الريان النموذجية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,75.79
372,196701,ثانوية ابن خلدون (مقررات) (عرقة),الرياض,Riyadh,Domestic,مقررات,75.78
375,56261,ثانوية مدارس رواد الخليج الأهلية للبنات,الدمام,AlSharquia,Domestic,تعليم عام بنات,75.72
376,35070,ثانوية جزيرة العلوم بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,75.71
406,96656,ثانوية البيان الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,75.36
416,35077,ثانوية الحمراء بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,75.2
431,31237,ثانوية تربية الأبناء الأهلية بالطائف,الطائف,Makkah,Domestic,تعليم عام بنات,75.03
439,116503,ثانوية الجامعة  الاهلية مقررات,الخرج,Riyadh,Domestic,مقررات,74.91
447,35069,ثانوية دار الفرح,جدة,Makkah,Domestic,تعليم عام بنات,74.83
452,96660,ثانوية الرايه الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,74.68
454,78119,ثانوية طلائع الغد الاهلية بتبوك- نظام المقررات,تبوك,Tabuk,Domestic,مقررات,74.65
456,35048,ثانوية دار الحنان,جدة,Makkah,Domestic,تعليم عام بنات,74.64
459,96652,ثانوية  المجد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,74.63
476,96674,ثانوية الحصاد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,74.41
477,282585,ثانوية المعرفة الأهلية  (نظام المقررات),مكة المكرمة,Makkah,Domestic,مقررات,74.41
487,97423,ثانوية الأرقم الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,74.25
498,966725,ثانوية الأمجاد الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,74.12
505,35044,ثانوية دار الهدى الحديثة بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,74.01
506,96627,ثانوية الدوحة السعودية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,74
528,197204,ثانوية أمجاد قرطبة ( مقررات ),الرياض,Riyadh,Domestic,مقررات,73.82
537,96665,ثانوية جرير الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,73.78
545,48917,ثانوية الغد النموذجية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,73.67
551,63498,ثانوية شركة مدارس الرواد الاهلية للبنات بابها,أبها,Asser,Domestic,تعليم عام بنات,73.55
