General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
12,96662,ثانوية دور الذكرالأهلية لتحفيظ القرآن الكريم,الرياض,Riyadh,Domestic,تحفيظ بنات,78.63
46,35179,ثانوية دارالقلم النموذجية الأهلية,جدة,Makkah,Domestic,تعليم عام بنات,75.44
50,42262,مدارس طيبة الطيبة الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,75.12
60,97424,ثانوية الأرقم الأهلية لتحفيظ القرآن الكريم,الرياض,Riyadh,Domestic,تحفيظ بنات,74.55
70,35066,ثانوية الذكر بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,73.6
73,55693,ثانوية مدارس دار البيان الأهلية,الخبر,AlSharquia,Domestic,تعليم عام بنات,73.32
79,28252,ثانوية دار البشرى الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,73
87,51279,ثانوية الرشاد النموذجيه,الرس,Qassim,Domestic,تعليم عام بنات,72.33
91,195029,ثانوية الفرسان الأهلية - المقررات,الرياض,Riyadh,Domestic,مقررات,72.29
99,966465,ثانوية الرواد الأهلية ( الازدهار ) - مقررات,الرياض,Riyadh,Domestic,مقررات,72.12
104,35080,ثانوية المستقبل,جدة,Makkah,Domestic,تعليم عام بنات,72.02
110,42356,مدارس درر المدينة الأهلية- المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,71.89
127,59099,ثانوية النخبة النموذجية,الأحساء,AlSharquia,Domestic,تعليم عام بنات,71.32
131,59008,ثانوية دور العلوم الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنات,71.24
215,97128,ثانوية التعاون النموذجية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,69.81
221,96627,ثانوية الدوحة السعودية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,69.7
228,96634,ثانوية السمو الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,69.63
245,97423,ثانوية الأرقم الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,69.53
250,42250,مدارس دار الأمان الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,69.45
283,35078,ثانوية العقيق,جدة,Makkah,Domestic,تعليم عام بنات,69.07
284,35063,ثانوية روضة جدة النموذجية,جدة,Makkah,Domestic,تعليم عام بنات,69.05
293,351805,ثانوية الاندلس بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,68.92
320,96969,ثانوية الإحسان الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,68.78
328,42347,مدارس العقيق الأهلية - المرحلة الثانوية (مقررات),المدينة المنورة,Madina,Domestic,مقررات,68.75
330,590215,مدارس أكاديمية الكفاح الأهلية للتعليم - الثانوية نظام المقررات (بنات),الأحساء,AlSharquia,Domestic,مقررات,68.74
349,966645,ثانوية التربية الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,68.6
431,42355,مدارس أنوار الفيحاء الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,67.94
483,42271,مدارس المعتز بالله الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,67.65
496,96940,ثانوية الوسط الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.58
509,59187,ثانوية رؤية المستقبل,الأحساء,AlSharquia,Domestic,تعليم عام بنات,67.48
516,35316,ثانوية دار الرواد بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,67.43
521,35082,ثانوية المشاعل,جدة,Makkah,Domestic,تعليم عام بنات,67.37
545,35045,ثانوية البيان النموذجية نظام مقررات,جدة,Makkah,Domestic,مقررات,67.22
557,42252,مدارس الأبرار الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,67.16
559,969575,ثانوية الأوائل الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,67.14
568,63503,ثانوية شركة مدارس خميس مشيط الاهلية,خميس مشيط,Asser,Domestic,تعليم عام بنات,67.09
571,196829,ثانوية دار الصفوة,الرياض,Riyadh,Domestic,تعليم عام بنات,67.08
574,97389,ثانوية منارات اليمامة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.07
582,42248,مدارس دار الهجرة الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,67.04
594,42479,مدارس الحكمة الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,66.98
597,97101,ثانوية الجيل الصالح الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.97
610,97183,ثانوية رواد التربية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.87
628,35064,ثانوية البيت السعيد بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,66.79
678,97177,ثانوية علوم الرياض الأهلية - فرع الصحافة,الرياض,Riyadh,Domestic,تعليم عام بنات,66.52
686,96902,ثانوية رائدة السلام الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.48
696,195101,ثانوية نخبة نجد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.45
702,28234,ثانوية الأندلس الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,66.37
728,96671,ثانوية التوحيد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.2
730,95068,ثانوية الرقي الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.19
749,42341,مدارس الصفوة الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,66.1
780,95994,ثانوية طيبة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,65.93
797,96663,ثانوية الأجيال الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,65.84
802,559110,ثانوية جواثا الأهلية مقررات,الأحساء,AlSharquia,Domestic,مقررات,65.83
806,28441,ثانوية العلم النافع الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,65.81
