General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
4,11175,ثانوية منارات الرياض الأهلية,الرياض,Riyadh,Domestic,مقررات,86.07
5,53854,ثانوية الجامعة الأهلية,الخبر,AlSharquia,Domestic,تعليم عام بنين,85.47
6,54421,ثانوية اجيال المواهب الاهلية,الخبر,AlSharquia,Domestic,تعليم عام بنين,85.45
7,26504,ثانوية الفلاح الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,85.01
11,538485,ثانوية الحصان النموذجية الاهلية بالدمام - مقررات,الدمام,AlSharquia,Domestic,مقررات,83.65
12,53936,ثانوية الانصار الأهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,83.59
14,53853,ثانوية الظهران الاهلية - مقررات,الخبر,AlSharquia,Domestic,مقررات,83.58
16,111903,ثانوية الرواد الأهلية - نظام المقررات,الرياض,Riyadh,Domestic,مقررات,83.23
18,405625,مدارس منارات المدينة المنورة الأهلية - المرحلة الثانوية (مقررات),المدينة المنورة,Madina,Domestic,مقررات,83.1
20,153006,ثانوية المشكاة الأهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,83.03
22,54225,ثانوية البسام الاهلية - مقررات,الدمام,AlSharquia,Domestic,مقررات,82.37
23,11179,ثانوية نجد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,82.34
24,405645,مدارس الخندق الأهلية - المرحلة الثانوية (مقررات),المدينة المنورة,Madina,Domestic,مقررات,82.22
25,11183,ثانوية الخليج الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,82
26,11380,ثانوية الغد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,81.51
28,11185,ثانوية المناهج الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,81.02
29,11176,ثانوية الرياض الأهلية,الرياض,Riyadh,Domestic,مقررات,80.93
30,405615,مدارس العلوم الشرعية الأهلية - المرحلة الثانوية  (مقررات),المدينة المنورة,Madina,Domestic,مقررات,80.81
31,33127,دار الذكر الثانوية الاهلية,جدة,Makkah,Domestic,مقررات,80.74
35,153557,ثانوية المنارات الأهلية بالخبر ـ مقررات,الخبر,AlSharquia,Domestic,مقررات,79.82
36,76452,الملك عبدالعزيز الأهلية النموذجية الثانوية,تبوك,Tabuk,Domestic,مقررات,79.73
37,11292,ثانوية الأرقم الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,79.66
38,53852,ثانوية المنارات الاهلية بالدمام,الدمام,AlSharquia,Domestic,تعليم عام بنين,79.6
39,11178,ثانوية الفيصلية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,79.55
41,11776,ثانوية ابن خلدون الأهلية - عرقة,الرياض,Riyadh,Domestic,مقررات,79.23
43,32822,الفلاح الثانوية الأهلية,جدة,Makkah,Domestic,تعليم عام بنين,79.18
44,538395,ثانوية الحصان النموذجية الاهلية بالجبيل - مقررات,الجبيل,AlSharquia,Domestic,مقررات,79.02
45,110043,ثانوية الفرسان الأهلية - نظام المقررات,الرياض,Riyadh,Domestic,مقررات,79
46,32834,رياض القران الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,78.99
49,29739,الأندلس الأهلية الثانوية,الطائف,Makkah,Domestic,تعليم عام بنين,78.95
50,11392,ثانوية ابن خلدون الأهلية - النفل,الرياض,Riyadh,Domestic,مقررات,78.88
57,11196,ثانوية المنهل الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,78.21
58,110044,ثانوية التربية النموذجية الأهلية - النزهة,الرياض,Riyadh,Domestic,مقررات,78.19
62,10030,ثانوية رياض نجد الأهلية,الرياض,Riyadh,Domestic,مقررات,77.58
63,11191,ثانوية العناية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,77.55
65,11417,ثانوية التربية النموذجية الأهلية ـ الروابي,الرياض,Riyadh,Domestic,مقررات,77.52
66,11181,ثانوية الشعلة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,77.51
70,53856,ثانوية التهذيب الأهلية,سيهات,AlSharquia,Domestic,تعليم عام بنين,77.24
71,12343,ثانوية التعلم النموذجية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,77.19
72,57514,ثانوية الأنجال الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنين,77.07
74,53843,ثانوية العزيزية الاهلية,الخبر,AlSharquia,Domestic,تعليم عام بنين,76.92
79,11202,ثانوية رياض الصالحين الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,76.86
80,61541,ثانوية الرواد,خميس مشيط,Asser,Domestic,تعليم عام بنين,76.79
82,154232,ثانوية نور الإسلام الأهلية بالدمام ـ مقررات,الدمام,AlSharquia,Domestic,مقررات,76.78
84,47734,ثانوية طلائع القصيم الأهلية,بريدة,Qassim,Domestic,تعليم عام بنين,76.74
85,57517,ثانوية دور العلوم الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنين,76.6
86,11212,ثانوية العربية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,76.58
87,532845,النصر الثانوية (نظام المقررات) الاهلية,جدة,Makkah,Domestic,مقررات,76.56
89,133853,منارة جدة الثانويه الاهلية,جدة,Makkah,Domestic,مقررات,76.48
90,532882,الاقصى الأهلية (نظام المقررات),جدة,Makkah,Domestic,مقررات,76.36
91,26742,ثانوية عبدالرحمن فقيه,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,76.25
95,116005,ثانوية الجامعة الأهلية مقررات,الخرج,Riyadh,Domestic,مقررات,76.18
97,33176,دار الرواد الثانوية الاهلية,جدة,Makkah,Domestic,مقررات,76.06
99,110045,ثانوية نيار الأهلية - نظام المقررات,الرياض,Riyadh,Domestic,مقررات,75.94
100,32993,التعاون الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,75.91
101,110016,ثانوية دار العلوم الأهلية - نظام المقررات,الرياض,Riyadh,Domestic,مقررات,75.88
102,11177,ثانوية التربية النموذجية الأهلية,الرياض,Riyadh,Domestic,مقررات,75.71
105,54045,ثانوية التربية الأهلية,الخبر,AlSharquia,Domestic,تعليم عام بنين,75.62
106,32830,الاندلس الثانوية الأهلية,جدة,Makkah,Domestic,مقررات,75.6
110,32832,جيل الفيصل الثانوية (فرع السبعين) الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,75.54
112,111909,ثانوية أطياب الأهلية - نظام المقررات,الرياض,Riyadh,Domestic,مقررات,75.46
113,61846,ثانوية صدى الإبداع,خميس مشيط,Asser,Domestic,تعليم عام بنين,75.38
115,11494,ثانوية الرواد الأهلية - المنصورة,الرياض,Riyadh,Domestic,تعليم عام بنين,75.33
116,32921,الرحاب الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,75.28
117,40776,مدارس دار التربية الإسلامية الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنين,75.27
118,11189,ثانوية التضامن الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,75.23
121,110020,ثانوية المتقدمة الأهلية - نظام المقررات,الرياض,Riyadh,Domestic,مقررات,75.18
127,11474,ثانوية العليا الأهلية,الرياض,Riyadh,Domestic,مقررات,74.96
130,47543,ثانوية منارات القصيم,بريدة,Qassim,Domestic,تعليم عام بنين,74.8
132,33029,الاخاء الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,74.78
134,54224,ثانوية محمد الفاتح الاهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,74.71
135,33195,قرطبة الثانوية الأهلية,جدة,Makkah,Domestic,تعليم عام بنين,74.71
136,61540,ثانوية الأندلس الأهلية بالخميس,خميس مشيط,Asser,Domestic,تعليم عام بنين,74.7
140,11184,ثانوية الرواد الأهلية - الروابي,الرياض,Riyadh,Domestic,تعليم عام بنين,74.61
141,539385,ثانوية السعد الاهلية - مقررات,الخبر,AlSharquia,Domestic,مقررات,74.57
142,12270,ثانوية السعودية الأهلية - نظام المقررات,الرياض,Riyadh,Domestic,مقررات,74.55
147,61538,ثانوية المناهل الأهلية بأبها,أبها,Asser,Domestic,تعليم عام بنين,74.44
148,54163,ثانوية الاعتصام الأهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,74.44
151,11213,ثانوية الإحسان الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,74.4
153,26513,ثانوية شعاع المعرفة الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,74.34
156,53969,ثانوية رياض الإسلام الأهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,74.06
158,33212,المنارات الثانوية ( برابغ ) الاهلية,رابغ,Makkah,Domestic,مقررات,74
161,33066,ثغر جدة الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,73.98
166,32824,المعهد العربي السعودي الثانوية الأهلية,جدة,Makkah,Domestic,تعليم عام بنين,73.77
168,11187,ثانوية المستقبل النموذجية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,73.69
172,32835,الامجاد الثانية الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,73.58
173,54159,ثانوية الضاحية الاهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,73.58
174,54114,ثانوية الهداية الأهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,73.56
176,112780,ثانوية الصدارة الأهلية - نظام المقررات,الرياض,Riyadh,Domestic,مقررات,73.52
178,54140,ثانوية اجيال الاقصى الاهلية,الخبر,AlSharquia,Domestic,تعليم عام بنين,73.44
180,32876,دار التربية الحديثة الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,73.42
183,11194,ثانوية المجد الأهلية - العريجاء,الرياض,Riyadh,Domestic,تعليم عام بنين,73.37
188,11218,ثانوية الفلاح الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,73.28
189,32842,دار المعرفة الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,73.28
194,54405,ثانوية السلام الاهلية بالخبر,الخبر,AlSharquia,Domestic,تعليم عام بنين,73.16
195,160233,المحافظة الاهلية الثانوية ( مقررات),حفر الباطن,AlSharquia,Domestic,مقررات,73.15
200,53939,ثانوية القطيف الاهلية,القطيف,AlSharquia,Domestic,تعليم عام بنين,73.09
206,26502,ثانوية البشرى بالعوالي الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,73.01
217,11188,ثانوية التربية السعودية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,72.76
241,11209,ثانوية الأمجاد الأهلية ـ نظام المقررات,الرياض,Riyadh,Domestic,مقررات,72.32
244,57557,مدارس أكاديمية الكفاح الأهلية للتعليم – الثانوية (بنين),الأحساء,AlSharquia,Domestic,تعليم عام بنين,72.24
256,10002,مدارس أكاديمية الكفاح الأهلية للتعليم – الثانوية نظام المقررات (بنين),الأحساء,AlSharquia,Domestic,مقررات,72.02
258,54297,ثانوية شمس الجزيرة الاهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,71.99
259,61537,ثانوية الأندلس الأهلية بأبها,أبها,Asser,Domestic,تعليم عام بنين,71.99
260,11238,ثانوية النبلاء الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,71.98
263,32875,المجد الثانوية الأهلية,جدة,Makkah,Domestic,تعليم عام بنين,71.94
270,133406,الأمجاد الثانويه الأهلية,جدة,Makkah,Domestic,تعليم عام بنين,71.87
271,16340,ثانوية الجامعة الأهلية,الخرج,Riyadh,Domestic,تعليم عام بنين,71.86
272,11201,ثانوية السعودية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,71.84
282,30059,صفوة الطليعة الاهلية الثانوية,الطائف,Makkah,Domestic,تعليم عام بنين,71.75
286,11197,ثانوية المواهب الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,71.59
289,21409,ثانوية الوسام الأهلية,القويعية,Riyadh,Domestic,تعليم عام بنين,71.57
291,11208,ثانوية الإمام الشافعي الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,71.55
298,110042,ثانوية الابتكارية الأهلية - نظام المقررات,الرياض,Riyadh,Domestic,مقررات,71.48
301,32977,دار الثقافة الثانوية الأهلية,جدة,Makkah,Domestic,تعليم عام بنين,71.44
302,12084,ثانوية الجودة الأهلية ـ نظام المقررات,الرياض,Riyadh,Domestic,مقررات,71.44
305,54306,ثانوية النخبة العلمية الاهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,71.42
309,112710,ثانوية أمجاد قرطبة الأهلية - نظام المقررات,الرياض,Riyadh,Domestic,مقررات,71.32
