General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
83,53849,ثانوية التطوير الأهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,67.88
110,11188,ثانوية التربية السعودية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,66.94
114,11413,ثانوية الامتياز الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,66.79
115,40594,مدارس القصواء الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنين,66.77
149,147175,ثانوية اجيال الزرقاء,خب البريدي,Qassim,Domestic,تعليم عام بنين,65.42
167,40563,مدارس دار الهجرة الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنين,64.99
191,61538,ثانوية المناهل الأهلية بأبها,أبها,Asser,Domestic,تعليم عام بنين,64.52
260,40565,مدارس دار الهجرة الأهلية - المرحلة الثانوية (ليلي),المدينة المنورة,Madina,Domestic,تعليم عام بنين,62.67
273,26607,ثانوية البشرى بالزاهر الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,62.43
293,76453,الشمال الأهلية الثانوية الليلية,تبوك,Tabuk,Domestic,تعليم عام بنين,61.93
306,11231,ثانوية دار المعرفة الأهلية الليلية,الرياض,Riyadh,Domestic,تعليم عام بنين,61.63
327,26536,ثانوية المعرفة الأهلية الليلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,61.18
329,47554,ثانوية رياض القصيم الأهلية,بريدة,Qassim,Domestic,تعليم عام بنين,61.13
349,73608,ثانوية النموذجية الأهلية,حائل,Hail,Domestic,تعليم عام بنين,60.71
375,57695,ثانوية منارات الخالدية  الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنين,60.34
426,57729,ثانوية جواثا الأهلية الليلية,الأحساء,AlSharquia,Domestic,تعليم عام بنين,59.42
432,26506,ثانوية شعاع المعرفة الليلية الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,59.24
446,12174,ثانوية جيل الريادة الأهلية الليلية,الرياض,Riyadh,Domestic,تعليم عام بنين,58.9
461,11596,ثانوية المنهاج الأهلية الليلية,الرياض,Riyadh,Domestic,تعليم عام بنين,58.53
477,60427,جيل التفوق الأهلية الثانوية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,58.17
484,26768,ثانوية الفرقان الليلية بالحمراء الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,57.96
513,17475,ثانوية الدوادمي  الليلية الأهلية,الدوادمي,Riyadh,Domestic,تعليم عام بنين,56.96
548,73620,ثـانوية النموذجية الأهلية الليلية,حائل,Hail,Domestic,تعليم عام بنين,55.59
