General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
2,55915,ثانوية مدارس الظهران الاهلية (مقررات),الخبر,AlSharquia,Domestic,مقررات,88
3,48917,ثانوية الغد النموذجية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,85.43
4,55919,ثانوية مدارس الجامعة الاهلية للبنات,الخبر,AlSharquia,Domestic,تعليم عام بنات,85.06
5,59009,ثانوية الانجال الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنات,85
7,422495,مدارس منارات المدينة المنورة الأهلية - المرحلة الثانوية (مقررات),المدينة المنورة,Madina,Domestic,مقررات,84.12
9,96623,ثانوية الفهد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,83.2
10,35073,ثانوية الصالحية,جدة,Makkah,Domestic,تعليم عام بنات,82.79
12,35066,ثانوية الذكر بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,81.93
14,559165,ثانوية مدارس الفيصلية الإسلامية بالخبر (مقررات),الخبر,AlSharquia,Domestic,مقررات,81.58
15,49001,ثانوية طلائع القصيم الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,81.57
16,96749,ثانوية شموخ الأجيال الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,81.55
17,155010,مدارس السلام الخاصة للبنات - نظام المقررات,الخبر,AlSharquia,Domestic,مقررات,81.52
18,55921,ثانوية مدارس العزيزيه الاهلية للبنات,الخبر,AlSharquia,Domestic,تعليم عام بنات,81.4
19,966465,ثانوية الرواد الأهلية ( الازدهار ) - مقررات,الرياض,Riyadh,Domestic,مقررات,81.36
21,96953,ثانوية الفيصلية الحديثة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,81.26
23,96676,ثانوية الغد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,80.97
24,966645,ثانوية التربية الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,80.84
25,56201,ثانوية مدارس البسام الاهلية للبنات -مقررات,الدمام,AlSharquia,Domestic,مقررات,80.76
27,56292,ثانوية مدارس الحصان النموذجية الأهلية ورياض الأطفال للبنات (مقررات),الدمام,AlSharquia,Domestic,مقررات,80.51
28,195029,ثانوية الفرسان الأهلية - المقررات,الرياض,Riyadh,Domestic,مقررات,80.45
29,96642,ثانوية العربية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,80.33
31,966305,ثانوية منارات الرياض الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,80.28
32,59008,ثانوية دور العلوم الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنات,80.22
36,55694,ثانوية مدارس التربية الأهلية بالخبر,الخبر,AlSharquia,Domestic,تعليم عام بنات,79.89
38,55917,ثانوية مدارس  المنارات بالخبر الأهليه,الخبر,AlSharquia,Domestic,تعليم عام بنات,79.77
40,96670,ثانوية الحرمين الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,79.62
43,35217,ثانوية أكاديمية المعارف,جدة,Makkah,Domestic,تعليم عام بنات,79.57
44,96633,ثانوية نجد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,79.45
50,96640,ثانوية العناية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,79.11
51,35042,ثانوية الزهراء بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,78.96
57,590215,مدارس أكاديمية الكفاح الأهلية للتعليم - الثانوية نظام المقررات (بنات),الأحساء,AlSharquia,Domestic,مقررات,78.64
62,96626,ثانوية التربية الإسلامية الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,78.49
64,55927,ثانوية مدارس المنارات الأهلية للبنات بالدمام,الدمام,AlSharquia,Domestic,تعليم عام بنات,78.45
70,35078,ثانوية العقيق,جدة,Makkah,Domestic,تعليم عام بنات,78.18
72,35053,ثانوية منارات جدة,جدة,Makkah,Domestic,تعليم عام بنات,78.18
73,28252,ثانوية دار البشرى الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,78.15
75,28326,ثانوية دوحة العلم الأهلية (نظام المقررات),مكة المكرمة,Makkah,Domestic,مقررات,78.04
81,195054,ثانوية الرواد الأهلية (الروابي ) - مقررات,الرياض,Riyadh,Domestic,مقررات,77.91
86,195041,ثانوية التعلم النموذجية الاهلية -  مقررات,الرياض,Riyadh,Domestic,مقررات,77.61
88,35080,ثانوية المستقبل,جدة,Makkah,Domestic,تعليم عام بنات,77.57
89,97131,ثانوية الشعلة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,77.54
90,96099,ثانوية واحة العلم الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,77.52
92,49042,ثانوية فجر القصيم الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,77.5
93,55693,ثانوية مدارس دار البيان الأهلية,الخبر,AlSharquia,Domestic,تعليم عام بنات,77.45
97,35213,ثانوية الإبداع بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,77.41
