General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
2,96662,ثانوية دور الذكرالأهلية لتحفيظ القرآن الكريم,الرياض,Riyadh,Domestic,تحفيظ بنات,81.73
3,966465,ثانوية الرواد الأهلية ( الازدهار ) - مقررات,الرياض,Riyadh,Domestic,مقررات,81.38
16,35066,ثانوية الذكر بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,79.57
20,97424,ثانوية الأرقم الأهلية لتحفيظ القرآن الكريم,الرياض,Riyadh,Domestic,تحفيظ بنات,79.27
21,195029,ثانوية الفرسان الأهلية - المقررات,الرياض,Riyadh,Domestic,مقررات,79.17
39,28252,ثانوية دار البشرى الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,77.33
49,59008,ثانوية دور العلوم الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنات,76.64
53,42347,مدارس العقيق الأهلية - المرحلة الثانوية (مقررات),المدينة المنورة,Madina,Domestic,مقررات,76.44
56,35179,ثانوية دارالقلم النموذجية الأهلية,جدة,Makkah,Domestic,تعليم عام بنات,76.39
57,590215,مدارس أكاديمية الكفاح الأهلية للتعليم - الثانوية نظام المقررات (بنات),الأحساء,AlSharquia,Domestic,مقررات,76.33
59,966645,ثانوية التربية الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,76.3
65,42262,مدارس طيبة الطيبة الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,76.16
72,55694,ثانوية مدارس التربية الأهلية بالخبر,الخبر,AlSharquia,Domestic,تعليم عام بنات,75.97
74,351805,ثانوية الاندلس بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,75.94
93,51279,ثانوية الرشاد النموذجيه,الرس,Qassim,Domestic,تعليم عام بنات,75.46
100,97423,ثانوية الأرقم الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,75.24
105,55693,ثانوية مدارس دار البيان الأهلية,الخبر,AlSharquia,Domestic,تعليم عام بنات,74.93
108,35080,ثانوية المستقبل,جدة,Makkah,Domestic,تعليم عام بنات,74.88
111,42356,مدارس درر المدينة الأهلية- المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,74.86
126,35214,ثانوية التقوى الشاملة,جدة,Makkah,Domestic,تعليم عام بنات,74.56
128,195851,ثانوية المطورون الاهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,74.51
129,35060,ثانوية دوحة الجزيرة بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,74.46
137,59099,ثانوية النخبة النموذجية,الأحساء,AlSharquia,Domestic,تعليم عام بنات,74.25
149,35045,ثانوية البيان النموذجية نظام مقررات,جدة,Makkah,Domestic,مقررات,73.89
152,969575,ثانوية الأوائل الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,73.81
162,96634,ثانوية السمو الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,73.53
165,96969,ثانوية الإحسان الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,73.46
169,966815,ثانوية التربية النموذجية الأهلية (الروابي) - مقررات,الرياض,Riyadh,Domestic,مقررات,73.39
171,42250,مدارس دار الأمان الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,73.33
191,97270,ثانوية  المتقدمة الأهلية - الشهداء -,الرياض,Riyadh,Domestic,تعليم عام بنات,72.91
199,97128,ثانوية التعاون النموذجية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,72.83
203,35063,ثانوية روضة جدة النموذجية,جدة,Makkah,Domestic,تعليم عام بنات,72.77
213,966495,ثانوية العليا الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,72.63
214,559110,ثانوية جواثا الأهلية مقررات,الأحساء,AlSharquia,Domestic,مقررات,72.61
220,96627,ثانوية الدوحة السعودية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,72.54
227,559165,ثانوية مدارس الفيصلية الإسلامية بالخبر (مقررات),الخبر,AlSharquia,Domestic,مقررات,72.48
233,42355,مدارس أنوار الفيحاء الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,72.39
246,35316,ثانوية دار الرواد بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,72.22
274,35217,ثانوية أكاديمية المعارف,جدة,Makkah,Domestic,تعليم عام بنات,71.8
278,966735,ثانوية دار العلوم الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,71.78
284,42252,مدارس الأبرار الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,71.7
292,196829,ثانوية دار الصفوة,الرياض,Riyadh,Domestic,تعليم عام بنات,71.64
298,97389,ثانوية منارات اليمامة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,71.62
300,97354,ثانوية رواد الحضارة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,71.61
302,35064,ثانوية البيت السعيد بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,71.59
317,42479,مدارس الحكمة الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,71.5
321,35078,ثانوية العقيق,جدة,Makkah,Domestic,تعليم عام بنات,71.46
332,42271,مدارس المعتز بالله الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,71.36
335,96940,ثانوية الوسط الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,71.35
365,63503,ثانوية شركة مدارس خميس مشيط الاهلية,خميس مشيط,Asser,Domestic,تعليم عام بنات,71.16
367,59187,ثانوية رؤية المستقبل,الأحساء,AlSharquia,Domestic,تعليم عام بنات,71.15
417,195101,ثانوية نخبة نجد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,70.75
419,46843,مدارس الحديثة الأهلية للبنات - ثانوي,ينبع,Madina,Domestic,تعليم عام بنات,70.74
429,48919,ثانوية رياض القصيم الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,70.68
430,96663,ثانوية الأجيال الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,70.68
442,96684,ثانوية دار المعارف الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,70.6
447,28402,ثانوية أجيال الوفاء الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,70.57
452,966255,ثانوية دار السلام الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,70.55
461,96671,ثانوية التوحيد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,70.47
464,35144,ثانوية فتاة المستقبل,جدة,Makkah,Domestic,تعليم عام بنات,70.43
471,97183,ثانوية رواد التربية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,70.39
501,42341,مدارس الصفوة الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,70.17
502,96902,ثانوية رائدة السلام الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,70.17
516,95068,ثانوية الرقي الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,70.07
519,35082,ثانوية المشاعل,جدة,Makkah,Domestic,تعليم عام بنات,70.06
521,35069,ثانوية دار الفرح,جدة,Makkah,Domestic,تعليم عام بنات,70.05
523,96659,ثانوية المشاعل الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,70.05
529,49084,ثانوية الريادة الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,70
544,96655,ثانوية الوسطى الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,69.89
547,35293,ثانوية المنال,جدة,Makkah,Domestic,تعليم عام بنات,69.89
553,97101,ثانوية الجيل الصالح الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,69.85
562,96680,ثانوية المنهاج الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,69.81
564,28441,ثانوية العلم النافع الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,69.8
567,97240,ثانوية علوم الرياض الأهلية - فرع الخليج,الرياض,Riyadh,Domestic,تعليم عام بنات,69.76
568,97268,ثانوية التنويرالأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,69.76
570,96643,ثانوية الجيل الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,69.75
579,35511,ثانوية نور الإيمان,جدة,Makkah,Domestic,تعليم عام بنات,69.71
587,49823,ثانوية أنجال المستقبل الأهلية بالبكيرية,البكيرية,Qassim,Domestic,تعليم عام بنات,69.7
592,96971,ثانوية البيارق الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,69.68
596,60810,ثانوية المحافظة الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,69.64
602,42269,مدارس مناهل طيبة الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,69.63
609,97177,ثانوية علوم الرياض الأهلية - فرع الصحافة,الرياض,Riyadh,Domestic,تعليم عام بنات,69.57
637,55922,ثانوية مدارس التربية والتعليم للبنات  بالدمام,الدمام,AlSharquia,Domestic,تعليم عام بنات,69.41
678,35143,ثانوية الطفل المثالي,جدة,Makkah,Domestic,تعليم عام بنات,69.17
685,77953,ثانوية العصرالنموذجية الأهلية بتبوك,تبوك,Tabuk,Domestic,تعليم عام بنات,69.11
691,35040,ثانوية نهار الوفاء,جدة,Makkah,Domestic,تعليم عام بنات,69.08
708,59094,ثانوية درة الاحساء الاهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنات,68.98
739,97201,ثانوية شروق المعرفة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,68.84
775,96851,ثانوية نبع العلوم الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,68.63
778,16776,ثانوية فرسان الجزيرة الأهلية بالخرج,الخرج,Riyadh,Domestic,تعليم عام بنات,68.6
786,35457,ثانوية رائدات المستقبل,جدة,Makkah,Domestic,تعليم عام بنات,68.57
787,195057,ثانوية أجيال الحضارة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,68.57
798,97467,ثانوية الفنار الأهلية,لبن,Riyadh,Domestic,تعليم عام بنات,68.5
800,42248,مدارس دار الهجرة الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,68.49
805,97187,ثانوية رواد الأمراء الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,68.47
818,96032,ثانوية وسائل الشروق الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,68.38
821,48982,ثانوية مناهل الإيمان الاهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,68.36
829,35182,ثانوية معرفة العبير,جدة,Makkah,Domestic,تعليم عام بنات,68.33
834,78111,ثانوية علماء الغد الاهلية,تبوك,Tabuk,Domestic,تعليم عام بنات,68.3
852,96749,ثانوية شموخ الأجيال الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,68.23
853,95994,ثانوية طيبة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,68.23
854,31547,ثانوية صروح العلم والتربية الأهلية بالطائف,الطائف,Makkah,Domestic,تعليم عام بنات,68.22
884,56002,ثانوية مدارس الخليج النموذجية الأهلية للبنات بالدمام,الدمام,AlSharquia,Domestic,تعليم عام بنات,68.03
891,96645,ثانوية شبه الجزيرة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,68
897,96978,ثانوية الإمتياز الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.95
900,96747,ثانوية القلم الاهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.94
909,96666,ثانوية الزهراء الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.88
913,95079,ثانوية قرطبة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.85
921,28350,ثانوية صروح التربية الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,67.8
954,60844,ثانوية نور التوحيد الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,67.58
957,46776,مدارس منارات ينبع الأهلية - ثانوي,ينبع,Madina,Domestic,تعليم عام بنات,67.56
967,63698,ثانوية  مدارس أبها الأهلية,أبها,Asser,Domestic,تعليم عام بنات,67.51
971,49042,ثانوية فجر القصيم الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,67.49
981,60845,ثانوية منار السبيل الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,67.45
994,48993,ثانوية المجد الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,67.4
1026,96750,ثانوية روابي الأندلس الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.23
1032,35071,ثانوية الصرح النمودجية للبنات,جدة,Makkah,Domestic,تعليم عام بنات,67.18
1065,31235,ثانوية أنجال المملكة الأهلية بالطائف,الطائف,Makkah,Domestic,تعليم عام بنات,67.04
1078,75067,الثانوية النموذجية بحائل,حائل,Hail,Domestic,تعليم عام بنات,66.99
1086,59211,ثانوية البحار الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنات,66.93
1089,48916,ثانوية المنارات الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,66.92
1091,35216,ثانوية جيل الحضارة الاهلية,جدة,Makkah,Domestic,تعليم عام بنات,66.92
1109,51270,ثانوية الغصون,الرس,Qassim,Domestic,تعليم عام بنات,66.84
1113,35061,ثانوية روضة البوادي,جدة,Makkah,Domestic,تعليم عام بنات,66.82
