ministerial_number,school_name,city,region,category,average,gender,exam_type,curriculum_track
54421,ثانوية اجيال المواهب الاهلية,الخبر,AlSharquia,تعليم عام بنين,88.41,male,achievement,scientific
53854,ثانوية الجامعة الأهلية,الخبر,AlSharquia,تعليم عام بنين,87.75,male,achievement,scientific
26504,ثانوية الفلاح الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,86.93,male,achievement,scientific
153006,ثانوية المشكاة الأهلية,الدمام,AlSharquia,تعليم عام بنين,86.05,male,achievement,scientific
11179,ثانوية نجد الأهلية,الرياض,Riyadh,تعليم عام بنين,85.57,male,achievement,scientific
11175,ثانوية منارات الرياض الأهلية,الرياض,Riyadh,مقررات,85.4,male,achievement,scientific
53936,ثانوية الانصار الأهلية,الدمام,AlSharquia,تعليم عام بنين,84.93,male,achievement,scientific
538485,ثانوية الحصان النموذجية الاهلية بالدمام - مقررات,الدمام,AlSharquia,مقررات,83.88,male,achievement,scientific
53853,ثانوية الظهران الاهلية - مقررات,الخبر,AlSharquia,مقررات,83.56,male,achievement,scientific
11380,ثانوية الغد الأهلية,الرياض,Riyadh,تعليم عام بنين,82.91,male,achievement,scientific
111903,ثانوية الرواد الأهلية - نظام المقررات,الرياض,Riyadh,مقررات,82.81,male,achievement,scientific
11176,ثانوية الرياض الأهلية,الرياض,Riyadh,مقررات,82.61,male,achievement,scientific
405625,مدارس منارات المدينة المنورة الأهلية - المرحلة الثانوية (مقررات),المدينة المنورة,Madina,مقررات,81.69,male,achievement,scientific
11183,ثانوية الخليج الأهلية,الرياض,Riyadh,تعليم عام بنين,81.43,male,achievement,scientific
405645,مدارس الخندق الأهلية - المرحلة الثانوية (مقررات),المدينة المنورة,Madina,مقررات,81.32,male,achievement,scientific
54225,ثانوية البسام الاهلية - مقررات,الدمام,AlSharquia,مقررات,80.98,male,achievement,scientific
76452,الملك عبدالعزيز الأهلية النموذجية الثانوية,تبوك,Tabuk,مقررات,80.3,male,achievement,scientific
532845,النصر الثانوية (نظام المقررات) الاهلية,جدة,Makkah,مقررات,79.94,male,achievement,scientific
538395,ثانوية الحصان النموذجية الاهلية بالجبيل - مقررات,الجبيل,AlSharquia,مقررات,79.7,male,achievement,scientific
32822,الفلاح الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,79.53,male,achievement,scientific
11292,ثانوية الأرقم الأهلية,الرياض,Riyadh,تعليم عام بنين,79.14,male,achievement,scientific
11185,ثانوية المناهج الأهلية,الرياض,Riyadh,تعليم عام بنين,78.92,male,achievement,scientific
33127,دار الذكر الثانوية الاهلية,جدة,Makkah,مقررات,78.67,male,achievement,scientific
29739,الأندلس الأهلية الثانوية,الطائف,Makkah,تعليم عام بنين,78.51,male,achievement,scientific
11392,ثانوية ابن خلدون الأهلية - النفل,الرياض,Riyadh,مقررات,78.23,male,achievement,scientific
11776,ثانوية ابن خلدون الأهلية - عرقة,الرياض,Riyadh,مقررات,78.22,male,achievement,scientific
110043,ثانوية الفرسان الأهلية - نظام المقررات,الرياض,Riyadh,مقررات,77.56,male,achievement,scientific
53852,ثانوية المنارات الاهلية بالدمام,الدمام,AlSharquia,تعليم عام بنين,77.52,male,achievement,scientific
153557,ثانوية المنارات الأهلية بالخبر ـ مقررات,الخبر,AlSharquia,مقررات,77.39,male,achievement,scientific
11178,ثانوية الفيصلية الأهلية,الرياض,Riyadh,تعليم عام بنين,77.17,male,achievement,scientific
53856,ثانوية التهذيب الأهلية,سيهات,AlSharquia,تعليم عام بنين,77.02,male,achievement,scientific
61541,ثانوية الرواد,خميس مشيط,Asser,تعليم عام بنين,76.63,male,achievement,scientific
26742,ثانوية عبدالرحمن فقيه,مكة المكرمة,Makkah,تعليم عام بنين,76.49,male,achievement,scientific
12343,ثانوية التعلم النموذجية الأهلية,الرياض,Riyadh,تعليم عام بنين,76.18,male,achievement,scientific
32832,جيل الفيصل الثانوية (فرع السبعين) الاهلية,جدة,Makkah,تعليم عام بنين,75.71,male,achievement,scientific
110044,ثانوية التربية النموذجية الأهلية - النزهة,الرياض,Riyadh,مقررات,75.66,male,achievement,scientific
57514,ثانوية الأنجال الأهلية,الأحساء,AlSharquia,تعليم عام بنين,75.57,male,achievement,scientific
10030,ثانوية رياض نجد الأهلية,الرياض,Riyadh,مقررات,75.32,male,achievement,scientific
11417,ثانوية التربية النموذجية الأهلية ـ الروابي,الرياض,Riyadh,مقررات,74.98,male,achievement,scientific
53843,ثانوية العزيزية الاهلية,الخبر,AlSharquia,تعليم عام بنين,74.94,male,achievement,scientific
11191,ثانوية العناية الأهلية,الرياض,Riyadh,تعليم عام بنين,74.83,male,achievement,scientific
116005,ثانوية الجامعة الأهلية مقررات,الخرج,Riyadh,مقررات,74.6,male,achievement,scientific
405615,مدارس العلوم الشرعية الأهلية - المرحلة الثانوية  (مقررات),المدينة المنورة,Madina,مقررات,74.58,male,achievement,scientific
32842,دار المعرفة الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,74.45,male,achievement,scientific
532882,الاقصى الأهلية (نظام المقررات),جدة,Makkah,مقررات,74.37,male,achievement,scientific
11181,ثانوية الشعلة الأهلية,الرياض,Riyadh,تعليم عام بنين,74.32,male,achievement,scientific
32834,رياض القران الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,73.92,male,achievement,scientific
54405,ثانوية السلام الاهلية بالخبر,الخبر,AlSharquia,تعليم عام بنين,73.72,male,achievement,scientific
154232,ثانوية نور الإسلام الأهلية بالدمام ـ مقررات,الدمام,AlSharquia,مقررات,73.49,male,achievement,scientific
32830,الاندلس الثانوية الأهلية,جدة,Makkah,مقررات,73.23,male,achievement,scientific
111909,ثانوية أطياب الأهلية - نظام المقررات,الرياض,Riyadh,مقررات,73.19,male,achievement,scientific
32835,الامجاد الثانية الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,73.04,male,achievement,scientific
53969,ثانوية رياض الإسلام الأهلية,الدمام,AlSharquia,تعليم عام بنين,72.96,male,achievement,scientific
33176,دار الرواد الثانوية الاهلية,جدة,Makkah,مقررات,72.88,male,achievement,scientific
110020,ثانوية المتقدمة الأهلية - نظام المقررات,الرياض,Riyadh,مقررات,72.7,male,achievement,scientific
